"player_name","pitcher","game_year","N","unpredictability","indistinguishability","unexpectedness","deception"
"Brad Hand","543272",2018,878,60.9584951225539,65.4047308503959,69.8873410688046,75.1817215862514
"Kirby Yates","489446",2019,779,88.6735695943846,82.6837878457515,40.692912459896,74.5782017721525
"Elieser Hernandez","622694",2019,1088,82.0335975513306,77.7390426774465,46.2794816701434,73.5479452747686
"Brent Suter","608718",2020,387,62.5466025745659,67.2171201042739,65.6209210257821,73.5013999603857
"Phil Maton","664208",2018,622,86.6032174414273,53.9994660850636,48.4502521386863,72.3971785289569
"Sam Selman","572125",2019,141,79.127204775746,90.8839813930689,42.3424521514982,72.0358136431787
"Matt Wisler","605538",2020,346,84.3656265672954,92.2931111378531,37.2088089002465,71.7753762143411
"Jared Hughes","453172",2019,823,68.8644505777327,68.952375325062,56.5176616717415,71.1399889949386
"Zack Britton","502154",2018,486,84.6733861591576,82.9987597329917,38.9304369845266,71.0787604570468
"Brent Suter","608718",2018,1215,84.3113813157936,69.7399902005596,42.2158122579978,70.2046412032294
"Tyler Webb","643778",2019,665,80.8945620274328,83.0198532886343,40.7142918939631,70.1452004520622
"Dan Altavilla","656186",2020,274,87.5561292224459,94.4463153808356,31.1968855369142,69.8714508285746
"Ty Buttrey","621142",2018,230,78.3895969657982,57.3086542359389,50.5053391360483,69.8158097873857
"Paul Fry","643316",2018,476,59.0563076595423,89.165762949506,56.0630516539496,69.6625693974783
"Derek Holland","502706",2019,1100,79.4241423403691,75.6626966228181,43.0491132553135,69.2831530869012
"Jeff Brigham","656257",2019,529,53.5945883126094,69.2199171484646,66.3080601445547,69.2311528959634
"Andre Scrubb","668687",2020,306,64.7144544817953,63.0542347643025,58.6787051382,68.9252510410535
"Pat Venditte","519381",2018,141,71.5322052889441,34.7855498061147,61.7465871973502,68.6962190960686
"Matt Barnes","598264",2020,354,84.9130812357065,79.5401128770768,36.3601977463696,68.6258313124017
"T.J. McFarland","519008",2019,646,70.7593763126194,93.1619451329423,43.6073723324717,68.5750277770439
"Taylor Williams","592865",2020,206,75.8586228755448,79.0767711889913,43.893272369029,68.5736062432452
"Dylan Cease","656302",2019,1039,80.0280863529824,76.0539008108573,41.370331114016,68.5373565169576
"Jacob Barnes","606930",2018,624,87.4152463117539,60.8988466554034,39.7096160844532,68.251670624651
"Tyler Webb","643778",2018,266,73.6115077551465,81.0139153153787,43.9854202754182,67.7676721519976
"Matt Hall","664180",2018,151,58.6779800308929,64.8415635819482,61.3866775984815,67.7284495811189
"Jacob Barnes","606930",2019,500,85.2125756580735,74.635664398925,36.1119944497124,67.5214990178184
"Sean Doolittle","448281",2018,453,96.008412786702,62.0489858307879,31.0081463843547,67.3654025404237
"Carl Edwards Jr.","605218",2019,267,76.1816393117229,65.996542563725,45.903207311412,67.2377074516666
"Chris Devenski","606965",2018,580,68.6077660762825,73.008352827304,49.5185185405454,66.962626210617
"Drew Pomeranz","519141",2019,1489,80.8993545950251,87.3162391040568,34.5014388240253,66.728997512958
"Derek Holland","502706",2020,538,62.9723447756086,84.2964760098753,49.8320598923251,66.4461596416775
"Matt Hall","664180",2019,389,61.7599612352131,75.247116136554,53.5828905490006,66.3530174510276
"James Pazos","572021",2020,101,66.6694012362656,80.2119435210518,47.876518581262,66.2968769138787
"Drew Pomeranz","519141",2020,250,74.7349162032128,94.4395461880174,36.6185213775116,66.241059066695
"Kenley Jansen","445276",2020,342,70.69466430032,56.5834384064153,51.5775082819394,65.9346823900152
